idFechaConstruccion,sigla,nombreAeropuerto,categoria,tipo,departamento,municipio,latitud,longitud,propietario,longitudPista,anchoPista,pbmo,elevacion
2012-10,9AU,LAS FURIAS,Aeródromo,Fumigación,Casanare,Nunchía,5.4039,-72.1228,MAURICIO CALA PEREZ,800,10,2000,688
2012-8,9AV,EL NOGAL,Aeródromo,Fumigación,Meta,Villavicencio,3.9883,-73.2994,GLORIA L.TIUSO,610,10,2000,817
2011-5,9AX,SANTA CRUZ,Aeródromo,Fumigación,Meta,Puerto López,4.1318,-73.1814,JULIO STRAUCH D.,650,10,2000,659
2008-7,9BA,CURUMANI,Aeródromo,Fumigación,Cesar,Curumaní,9.2222,-73.5722,MUNICIPIO,900,23,2000,164
2012-2,9BB,SAN MIGUEL,Aeródromo,Fumigación,Meta,Puerto López,4.1069,-72.89,ELIZABETH CRUZ BULLA,670,10,2000,803
2013-11,9BC,CANTADELICIAS,Aeródromo,Público,Tolima,Alpujarra,3.3873,-74.9338,MUNICIPIO,700,15,12200,4213
2012-4,9BE,LAS VEGAS,Aeródromo,Privado,Casanare,Paz de Ariporo,6.0072,-71.2842,ALEIDA JERONIMO NAVAS,740,15,3500,430
2011-3,9BF,LA FRANCIA,Aeródromo,Privado,Cesar,El Paso,9.6394,-73.5282,SOCIEDAD COLOMBIAN NATURAL RESOURCES,1100,18,2000,213
2010-2,9BI,SAN FELIPE,Aeródromo,Privado,Casanare,Orocué,5.1037,-71.8425,MARIA LUCILA REYES ORDOÑEZ,700,14,2000,554
2009-6,9BK,JULIAN,Aeródromo,Fumigación,Meta,Cabuyaro,4.2711,-72.9869,HERNANDO JIMENEZ,800,10,2500,735
2012-11,9BL,LOS HALCONES,Aeródromo,Privado,Valle del Cauca,Bugalagrande,3.9178,-76.3206,DIEGO TORRES NUÑEZ,350,10,500,3232
2010-1,9BN,EL SOÑADOR,Aeródromo,Fumigación,Casanare,Aguazul,5.2299,-72.4528,GLORIA M. ALVIRA R.,700,14,2000,865
2013-2,9BP,EL CONCHAL - CA,Aeródromo,Privado,Valle del Cauca,El Cerrito,3.7273,-76.3902,ARMANDO ARAGON NAVIA,200,10,400,3139
2013-9,9BR,SEVILLA,Aeródromo,Privado,Casanare,Hato Corozal,5.9234,-71.7139,HELI CALA LOPEZ,700,15,3000,682
2012-10,9BT,ASA SAN MARTIN,Aeródromo,Fumigación,La Guajira,Riohacha,11.2889,-73.1756,ASA S EN C,830,15,4500,49
2013-5,9BW,LA FAZENDA,Aeródromo,Fumigación,Meta,Puerto López,4.3263,-72.2208,ALIAR S.A.,1200,12,5000,568
2011-2,9BX,LA ESTRELLA-CA.,Aeródromo,Privado,Meta,San Martín,3.4802,-73.3276,CLUB LA LIBELULA,300,75,500,787
2012-9,9CA,LAS AGUILAS -CA,Aeródromo,Privado,Valle del Cauca,Yumbo,3.5134,-76.4931,SERESTEL S.A.,320,10,500,3100
2006-10,9CB,CAMARUCOS,Aeródromo,Público,Casanare,Paz de Ariporo,5.8754,-70.6583,ALCALDIA,1200,15,2000,367
2006-10,9CC,EL TOTUMO,Aeródromo,Público,Casanare,Paz de Ariporo,5.9387,-71.2217,MUNICIPIO,520,15,2000,476
2006-10,9CD,VARSOVIA,Aeródromo,Público,Casanare,Paz de Ariporo,5.849,-70.3648,MUNICIPIO,550,15,2000,328
2006-10,9CE,LA HERMOSA,Aeródromo,Público,Casanare,Paz de Ariporo,5.5307,-70.4497,MUNICIPIO,884,15,2000,338
2006-10,9CF,SAN ESTEBAN,Aeródromo,Público,Casanare,Paz de Ariporo,5.4441,-70.8352,MUNICIPIO,580,15,2000,377
2007-10,9CG,SAN JOSE DEL ARIPORO,Aeródromo,Público,Casanare,Paz de Ariporo,6.0475,-70.0128,MUNICIPIO,570,15,2000,318
2006-10,9CH,COLINERAS,Aeródromo,Público,Casanare,Paz de Ariporo,6.0713,-70.3678,MUNICIPIO,410,15,2000,338
2006-10,9CI,LA CAIMANA,Aeródromo,Público,Casanare,Paz de Ariporo,6.052,-70.8134,MUNICIPIO,615,15,2000,400
2013-5,9CJ,EMAUS,Aeródromo,Privado,Casanare,San Luis de Palenque,5.1483,-71.0453,LUIS F. CASTILLO SANTOS,740,10,2500,430
2006-10,9CK,SANTA MARIA DEL CAFÉ,Aeródromo,Público,Casanare,Hato Corozal,6.1111,-70.9888,MUNICIPIO,510,15,2000,427
2017-7,9CL,LA VENTUROSA,Aeródromo,Público,Casanare,San Luis de Palenque,5.2388,-71.3035,MUNICIPIO,620,15,2000,459
2006-10,9CM,MIRAMAR DE GUANAPALO,Aeródromo,Público,Casanare,San Luis de Palenque,5.0541,-71.0012,MUNICIPIO,425,15,2000,394
2006-11,9CP,LA SALVACION,Aeródromo,Público,Casanare,Paz de Ariporo,5.9988,-70.6316,ALCALDIA,700,15,2000,384
2013-7,9CQ,LOMA GRANDE - CA,Aeródromo,Privado,Córdoba,Ayapel,8.2937,-75.1176,O.V. OROZCO Y CIA. S.C.A.,350,10,400,1280
2013-2,9CR,EL CAPRICHO,Aeródromo,Privado,Meta,Puerto Gaitán,4.2018,-72.1632,JORGE E. SALAZAR B.,700,18,4500,551
2012-3,9CU,COROCORA,Aeródromo,Privado,Casanare,Trinidad,5.3751,-70.969,DORA AVELLA VDA.DE PAN,740,18,5000,430
2010-12,9CZ,GRISMANIA,Aeródromo,Fumigación,Casanare,Aguazul,4.989,-72.5099,LUZ MARINA VARGAS,900,10,2000,669
2011-4,9DB,PALMAS DE TUMACO  -CA,Aeródromo,Privado,Nariño,San Andrés de Tumaco,1.496,-78.765,PALMAS DE TUMACO S.A.,225,10,500,136
2013-6,9DC,INGENIO LA CARMELITA,Aeródromo,Fumigación,Valle del Cauca,Riofrío,4.0727,-76.316,SOCIEDAD GARRIDO,300,10,500,3087
2010-12,9DG,EL LAGO - CA,Aeródromo,Privado,Tolima,Piedras,4.5575,-74.9003,BERNEY RODRIGUEZ,350,10,500,1050
2013-1,9DH,HACIENDA LA JOYA,Aeródromo,Privado,Bolívar,Córdoba,9.6179,-74.8367,TRIPENTA S.A.,720,10,2000,82
2008-2,9DI,SAN FELIPE,Aeródromo,Público,Guainía,San Felipe,1.915,-67.0776,GOBERNACION,1100,22,25000,312
2013-5,9DL,LA PASTORA,Aeródromo,Fumigación,Arauca,Arauca,6.798,-70.9777,SAO E.U,740,10,2000,600
