idAccidente,idEquipo,idFecha,idMunicipio,idDepartamento,idCategoria,numeroAccidentes
187,12,2016,36,44,1,1
188,112,2016,130,28,1,1
189,12,2016,131,27,1,1
190,111,2016,132,26,1,1
191,114,2016,133,45,1,1
192,112,2016,59,25,1,1
193,47,2016,43,27,1,1
194,140,2016,134,46,1,1
195,18,2016,28,30,1,1
196,141,2016,135,47,1,1
199,16,2016,28,30,1,1
200,5,2016,39,48,1,1
